94.1	procentowy przyrost	269,5652174																		
	ID_dziecka	718																		
93.2	10																			
	11																			
	12																			
	13																			
94.3	17																			
94.4		1lata	2lata	3lata	4lata	5lat	6lat	7lat	8lat	9lat	10lat	11lat	12lat	13lat	14lat	15lat	16lat	17 lat	18lat	19lat
	chłopcy	21,33494754	13,0008071	8,99677159	7,237288136	6,677158999	5,988700565	5,784503632	5,497982244	5,326069411	5,199354318	5,326876513	6,011299435	6,88700565	7,250201776	5,731234867	3,98385795	2,317998386	0,98062954	0,472154964
	dziewczynki	18,3030303	16,46236559	9,484848485	7,65884653	6,782991202	5,775171065	5,730205279	5,823069404	6,008797654	6,166177908	6,432062561	6,290322581	5,278592375	3,397849462	1,89540567	0,869990225	0,361681329	0,235581623	0,112414467
	zaczynają rosnąć chłopcy w wieku	11																		
	zaczynają rosnąć dziewczynki w wieku	8																		
94.5		1	10	19																
	5 centyli	68	128	166																
	95 centyli	80	147	187																
94.6	dlugosc_ur	1rok	2lata	3lata	4lata	5lat	6lat	7lat	8lat	9lat	10lat	11lat	12lat	13lat	14lat	15lat	16lat	17 lat	18lat	19lat
	52	74	87	96	103	110	116	121	127	132	138	143	149	156	163	169	173	175	176	176
