adres_ip;dostawca;kraj
79.88.16.95;SwidIN;Szwecja
181.73.157.23;OperonNET;Polska
88.217.181.132;PowolnyInternet;Polska
31.21.64.255;ARPTuba;RPA
111.162.101.178;PING;Polska
47.204.88.176;Piksal;Polska
185.145.96.116;OperonNET;Polska
15.156.228.62;TransNET;USA
236.150.57.240;NetaDaj;Polska
144.75.100.180;INetCzech;Czechy
30.137.46.77;ARPTuba;RPA
102.139.90.106;PING;Polska
46.49.93.187;Piksal;Polska
114.187.193.206;PING;Polska
148.155.168.197;INetCzech;Czechy
92.17.51.42;RUSNet;Rosja
139.14.127.71;GermNET;Niemcy
150.78.52.88;INetCzech;Czechy
170.132.134.211;321CeN;Chiny
247.144.57.79;NetaDaj;Polska
125.235.48.114;GermNET;Niemcy
58.193.62.203;Piksal;Polska
87.112.121.86;PowolnyInternet;Polska
101.81.161.142;PING;Polska
118.241.235.137;PING;Polska
71.210.167.55;KraniK;Ukraina
38.162.243.217;SamuRaj;Japonia
17.76.193.26;TransNET;USA
164.111.53.197;KraniK;Ukraina
116.22.134.223;PING;Polska
110.11.174.73;PING;Polska
180.152.29.90;OperonNET;Polska
13.183.15.130;TransNET;USA
51.56.47.223;Piksal;Polska
75.250.30.38;NetLit;Litwa
205.82.164.198;NetaDaj;Polska
124.85.134.138;GermNET;Niemcy
229.140.250.138;NetaDaj;Polska
69.38.74.171;Piksal;Polska
18.156.90.244;TransNET;USA
161.96.243.82;RUSNet;Rosja
139.214.235.22;GermNET;Niemcy
55.234.230.127;Piksal;Polska
80.248.34.53;PowolnyInternet;Polska
91.15.172.178;PowolnyInternet;Polska
162.115.36.59;RUSNet;Rosja
214.71.48.93;NetaDaj;Polska
183.242.241.39;OperonNET;Polska
177.78.42.187;321CeN;Chiny
242.146.184.63;NetaDaj;Polska
252.158.146.10;NetaDaj;Polska
222.236.34.184;NetaDaj;Polska
157.60.242.140;ProvideNT;Wielka Brytania
159.125.210.101;RUSNet;Rosja
170.222.61.39;321CeN;Chiny
225.214.152.129;NetaDaj;Polska
39.186.111.62;SzNuR;Dania
201.127.192.12;OperonNET;Polska
219.196.124.10;NetaDaj;Polska
217.248.144.22;NetaDaj;Polska
201.96.31.251;OperonNET;Polska
95.153.135.103;RUSNet;Rosja
75.128.162.152;KraniK;Ukraina
157.152.73.162;ProvideNT;Wielka Brytania
117.79.146.136;PING;Polska
69.124.98.187;Piksal;Polska
217.38.30.83;NetaDaj;Polska
183.212.138.199;OperonNET;Polska
109.48.52.138;PING;Polska
26.96.86.17;TransNET;USA
115.66.21.228;PING;Polska
13.239.119.79;TransNET;USA
163.166.168.14;RUSNet;Rosja
222.83.30.151;NetaDaj;Polska
64.114.229.223;Piksal;Polska
108.29.56.125;PING;Polska
102.237.21.112;PING;Polska
136.133.217.210;GermNET;Niemcy
191.68.12.137;OperonNET;Polska
189.247.90.232;OperonNET;Polska
205.150.203.185;NetaDaj;Polska
152.89.109.127;INetCzech;Czechy
193.19.200.158;OperonNET;Polska
204.80.195.67;OperonNET;Polska
187.122.140.221;OperonNET;Polska
118.80.239.49;PING;Polska
100.18.207.234;PING;Polska
224.227.160.193;NetaDaj;Polska
83.176.116.16;PowolnyInternet;Polska
230.241.94.78;NetaDaj;Polska
155.129.226.229;INetCzech;Czechy
119.111.205.208;PING;Polska
173.17.122.108;321CeN;Chiny
197.16.98.90;OperonNET;Polska
91.39.227.39;RUSNet;Rosja
114.161.33.77;PING;Polska
178.122.122.173;321CeN;Chiny
157.123.63.48;ProvideNT;Wielka Brytania
43.62.239.125;Piksal;Polska
29.196.174.182;ARPTuba;RPA
157.206.71.51;ProvideNT;Wielka Brytania
199.239.237.149;OperonNET;Polska
11.143.62.148;TransNET;USA
99.245.63.132;RUSNet;Rosja
35.74.154.46;RAFiN;Australia
169.198.44.174;KraniK;Ukraina
12.40.84.180;TransNET;USA
157.232.58.36;ProvideNT;Wielka Brytania
209.39.166.223;NetaDaj;Polska
