Data	retencja	passa bez deszczu	czy podlewanie	ile w zbiorniku rano	codzienne zu¿ycie	Czy œrodowe z³u¿ycie	czy podlewanie	ile na koniec dnia	ile z wodoci¹gów																				
sobota, 1 styczeñ 2022	0	1	brak danych	5000	190	0	0	4810	0																				
niedziela, 2 styczeñ 2022	0	2	brak danych	4810	191	0	0	4619	0																				
poniedzia³ek, 3 styczeñ 2022	0	3	brak danych	4619	192	0	0	4427	0																	4.1	a)	poz¹tek	pi¹tek, 12 sierpieñ 2022
wtorek, 4 styczeñ 2022	0	4	brak danych	4427	193	0	0	4234	0																			koniec	czwartek, 1 wrzesieñ 2022
œroda, 5 styczeñ 2022	0	5	brak danych	4234	194	70	0	3970	0																			liczba dni	21
czwartek, 6 styczeñ 2022	0	6	brak danych	3970	195	0	0	3775	0																		b)	18	
pi¹tek, 7 styczeñ 2022	0	7	brak danych	3775	196	0	0	3579	0																	4.2	miesi¹c	retencja ³¹cznie	
sobota, 8 styczeñ 2022	41	0	brak danych	3620	197	0	0	3423	0																		sty	2452	
niedziela, 9 styczeñ 2022	79	0	brak danych	3502	198	0	0	3304	0																		lut	1381	
poniedzia³ek, 10 styczeñ 2022	163	0	brak danych	3467	199	0	0	3268	0																		mar	3755	
wtorek, 11 styczeñ 2022	259	0	brak danych	3527	200	0	0	3327	0																		kwi	4213	
œroda, 12 styczeñ 2022	368	0	brak danych	3695	201	70	0	3424	0																		maj	3935	
czwartek, 13 styczeñ 2022	45	0	brak danych	3469	202	0	0	3267	0																		cze	5566	
pi¹tek, 14 styczeñ 2022	0	1	brak danych	3267	203	0	0	3064	0																		lip	6516	
sobota, 15 styczeñ 2022	0	2	brak danych	3064	204	0	0	2860	0																		sie	2698	
niedziela, 16 styczeñ 2022	0	3	brak danych	2860	205	0	0	2655	0																		wrz	5680	
poniedzia³ek, 17 styczeñ 2022	0	4	brak danych	2655	206	0	0	2449	0																		paŸ	12225	
wtorek, 18 styczeñ 2022	0	5	brak danych	2449	207	0	0	2242	0																		lis	14761	
œroda, 19 styczeñ 2022	0	6	brak danych	2242	208	70	0	1964	0																		gru	840	
czwartek, 20 styczeñ 2022	0	7	brak danych	1964	209	0	0	1755	0																	4.3	a)	212	
pi¹tek, 21 styczeñ 2022	0	8	brak danych	1755	210	0	0	1545	0																		b)	75798	
sobota, 22 styczeñ 2022	0	9	brak danych	1545	211	0	0	1334	0																				
niedziela, 23 styczeñ 2022	33	0	brak danych	1367	212	0	0	1155	0																				
poniedzia³ek, 24 styczeñ 2022	75	0	brak danych	1230	213	0	0	1017	0																				
wtorek, 25 styczeñ 2022	537	0	brak danych	1554	214	0	0	1340	0																				
œroda, 26 styczeñ 2022	826	0	brak danych	2166	215	70	0	1881	0																				
czwartek, 27 styczeñ 2022	26	0	brak danych	1907	216	0	0	1691	0																				
pi¹tek, 28 styczeñ 2022	0	1	brak danych	1691	217	0	0	1474	0																				
sobota, 29 styczeñ 2022	0	2	brak danych	1474	218	0	0	1256	0																				
niedziela, 30 styczeñ 2022	0	3	brak danych	1256	219	0	0	1037	0																				
poniedzia³ek, 31 styczeñ 2022	0	4	brak danych	1037	220	0	0	817	0																				
wtorek, 1 luty 2022	0	5	brak danych	817	221	0	0	596	0																				
œroda, 2 luty 2022	0	6	brak danych	596	222	70	0	304	0																				
czwartek, 3 luty 2022	0	7	brak danych	304	223	0	0	81	0																				
pi¹tek, 4 luty 2022	0	8	brak danych	81	224	0	0	0	143																				
sobota, 5 luty 2022	97	0	brak danych	97	225	0	0	0	128																				
niedziela, 6 luty 2022	0	1	brak danych	0	226	0	0	0	226																				
poniedzia³ek, 7 luty 2022	99	0	brak danych	99	227	0	0	0	128																				
wtorek, 8 luty 2022	0	1	brak danych	0	228	0	0	0	228																				
œroda, 9 luty 2022	0	2	brak danych	0	229	70	0	0	299																				
czwartek, 10 luty 2022	0	3	brak danych	0	230	0	0	0	230																				
pi¹tek, 11 luty 2022	97	0	brak danych	97	231	0	0	0	134																				
sobota, 12 luty 2022	83	0	brak danych	83	232	0	0	0	149																				
niedziela, 13 luty 2022	77	0	brak danych	77	233	0	0	0	156																				
poniedzia³ek, 14 luty 2022	195	0	brak danych	195	234	0	0	0	39																				
wtorek, 15 luty 2022	145	0	brak danych	145	235	0	0	0	90																				
œroda, 16 luty 2022	90	0	brak danych	90	236	70	0	0	216																				
czwartek, 17 luty 2022	0	1	brak danych	0	237	0	0	0	237																				
pi¹tek, 18 luty 2022	0	2	brak danych	0	238	0	0	0	238																				
sobota, 19 luty 2022	93	0	brak danych	93	239	0	0	0	146																				
niedziela, 20 luty 2022	0	1	brak danych	0	240	0	0	0	240																				
poniedzia³ek, 21 luty 2022	0	2	brak danych	0	241	0	0	0	241																				
wtorek, 22 luty 2022	93	0	brak danych	93	242	0	0	0	149																				
œroda, 23 luty 2022	0	1	brak danych	0	243	70	0	0	313																				
czwartek, 24 luty 2022	0	2	brak danych	0	244	0	0	0	244																				
pi¹tek, 25 luty 2022	0	3	brak danych	0	245	0	0	0	245																				
sobota, 26 luty 2022	228	0	brak danych	228	246	0	0	0	18																				
niedziela, 27 luty 2022	0	1	brak danych	0	247	0	0	0	247																				
poniedzia³ek, 28 luty 2022	84	0	brak danych	84	248	0	0	0	164																				
wtorek, 1 marzec 2022	90	0	brak danych	90	249	0	0	0	159																				
œroda, 2 marzec 2022	0	1	brak danych	0	250	70	0	0	320																				
czwartek, 3 marzec 2022	93	0	brak danych	93	251	0	0	0	158																				
pi¹tek, 4 marzec 2022	1189	0	brak danych	1189	252	0	0	937	0																				
sobota, 5 marzec 2022	139	0	brak danych	1076	253	0	0	823	0																				
niedziela, 6 marzec 2022	0	1	brak danych	823	254	0	0	569	0																				
poniedzia³ek, 7 marzec 2022	0	2	brak danych	569	255	0	0	314	0																				
wtorek, 8 marzec 2022	75	0	brak danych	389	256	0	0	133	0																				
