stacja	przyjazd	odjazd	przebyta odleglosc w km
PRZEMYSL GLOWNY	10:15:00	10:15:00	0
PRZEMYSL ZASANIE	10:18:00	10:19:00	1,6
RADYMNO	10:35:00	10:36:00	21,2
JAROSLAW	10:45:00	10:46:00	35
PRZEWORSK	10:55:00	10:56:00	49,9
LANCUT	11:09:00	11:10:00	70
RZESZOW GLOWNY	11:21:00	11:24:00	86,8
SEDZISZOW MALOPOLSKI	11:38:00	11:39:00	112,5
ROPCZYCE	11:44:00	11:45:00	120,6
DEBICA	11:53:00	11:54:00	133,7
TARNOW	12:10:00	12:12:00	166,9
BRZESKO OKOCIM	12:25:00	12:26:00	193,4
BOCHNIA	12:33:00	12:34:00	206,3
KRAKOW PLASZOW	12:55:00	12:56:00	240,2
KRAKOW GLOWNY	13:03:00	13:15:00	244,6
KRZESZOWICE	13:30:00	13:32:00	269,7
TRZEBINIA	13:40:00	13:42:00	283,4
JAWORZNO SZCZAKOWA	13:53:00	13:55:00	299,3
MYSLOWICE	14:04:00	14:06:00	311,7
KATOWICE	14:18:00	14:21:00	321,8
ZABRZE	14:36:00	14:37:00	340,3
GLIWICE	14:44:00	14:46:00	348,5
KEDZIERZYN-KOZLE	15:10:00	15:11:00	385,5
ZDZIESZOWICE	15:29:00	15:30:00	395,9
GOGOLIN	15:38:00	15:39:00	406,9
OPOLE GLOWNE	15:56:00	16:05:00	427,2
BRZEG	16:28:00	16:29:00	467,3
OLAWA	16:38:00	16:39:00	482,4
WROCLAW GLOWNY	16:55:00	17:17:00	508,9
BRZEG DOLNY	17:42:00	17:44:00	539,2
WOLOW	17:52:00	17:54:00	549,3
SCINAWA	18:08:00	18:09:00	567,6
GLOGOW	18:37:00	18:38:00	608
BYTOM ODRZANSKI	18:53:00	18:55:00	627,6
NOWA SOL	19:03:00	19:04:00	639,6
ZIELONA GORA GLOWNA	19:19:00	19:22:00	662,8
RZEPIN	20:03:00	20:04:00	732,4
KOSTRZYN	20:26:00	20:27:00	764,4
MIESZKOWICE	20:43:00	20:44:00	788,6
CHOJNA	20:58:00	20:59:00	809,5
GRYFINO	21:20:00	21:21:00	843,3
SZCZECIN DABIE	21:44:00	21:50:00	864
SZCZECIN ZALOM	21:57:00	21:58:00	870,7
KLINISKA	22:01:00	22:02:00	875,2
RURKA	22:06:00	22:07:00	879
GOLENIOW	22:13:00	22:14:00	887
BIALUN	22:18:00	22:18:00	893,2
LOZNICA	22:24:00	22:24:00	901,7
ROKITA	22:30:00	22:30:00	910,2
WYSOKA KAMIENSKA	22:35:00	22:36:00	917,2
PARLOWKO	22:41:00	22:41:00	923,4
TROSZYN	22:43:00	22:44:00	925,5
RECLAW	22:47:00	22:48:00	930,6
WOLIN	22:50:00	22:50:00	932,7
MOKRZYCA WIELKA	22:53:00	22:54:00	936,5
LADZIN	22:57:00	22:57:00	940,7
WARNOWO	23:00:00	23:00:00	943,7
MIEDZYZDROJE	23:05:00	23:06:00	949,6
LUBIEWO	23:09:00	23:09:00	952,5
SWINOUJSCIE PRZYTOR	23:15:00	23:15:00	958,5
SWINOUJSCIE WARSZOW	23:18:00	23:18:00	961,8
SWINOUJSCIE	23:22:00	23:25:00	963,4
SWINOUJSCIE PORT	23:27:00	23:27:00	964
