id_pokazu	id_ucznia
39	125
3	117
5	111
6	161
12	89
9	52
40	173
45	51
44	152
21	59
38	13
47	163
55	140
41	62
37	122
43	101
13	32
24	177
21	85
29	93
41	35
7	31
26	44
51	174
43	38
22	149
4	23
11	143
1	113
6	167
21	127
26	156
36	53
46	58
19	146
19	37
23	132
30	164
7	20
38	91
46	154
1	139
33	175
57	169
27	107
2	105
55	118
4	70
15	47
35	158
32	121
3	124
25	25
30	6
56	130
6	133
56	22
11	30
17	77
36	110
37	148
4	116
56	65
18	112
35	82
22	84
32	40
50	126
36	83
6	136
42	141
58	104
13	179
2	168
50	11
44	98
5	95
39	29
22	67
23	26
34	94
3	21
38	88
20	165
40	137
49	46
16	63
49	72
30	56
10	115
5	157
28	15
51	170
1	49
17	138
27	162
34	34
54	100
40	55
48	28
41	150
54	129
14	114
23	106
3	119
7	159
8	86
11	19
20	64
1	87
15	134
18	18
54	103
14	7
44	3
8	60
51	71
24	151
52	8
24	48
9	128
20	4
37	74
12	39
34	1
33	147
42	75
18	5
52	45
13	142
47	33
45	17
14	68
29	16
31	24
48	76
49	180
4	27
16	135
19	73
2	42
43	153
58	14
28	166
2	99
47	176
17	10
21	36
28	78
10	102
10	96
50	144
58	61
55	109
15	160
31	69
57	43
9	172
25	12
33	108
25	131
26	155
42	120
8	66
39	92
53	80
48	50
57	90
46	81
21	41
16	57
5	123
32	145
53	79
35	9
53	54
31	2
12	97
29	171
45	178
