id_logu;czas;czas_trwania_sesji;adres_ip;id_systemu
1;30.12.2020 03:15;3034;13.239.119.79;8
2;30.12.2020 08:31;3192;115.66.21.228;10
3;30.12.2020 12:20;274;100.18.207.234;2
4;30.12.2020 14:49;2508;181.73.157.23;10
5;30.12.2020 15:09;882;114.187.193.206;3
6;30.12.2020 16:56;817;13.239.119.79;2
7;30.12.2020 19:50;3372;222.236.34.184;12
8;30.12.2020 20:36;3170;222.236.34.184;1
9;30.12.2020 23:55;3208;124.85.134.138;10
10;31.12.2020 00:28;1284;80.248.34.53;13
11;31.12.2020 03:51;3232;157.206.71.51;10
12;31.12.2020 05:09;2605;71.210.167.55;5
13;31.12.2020 05:58;2439;139.214.235.22;6
14;31.12.2020 07:55;2601;108.29.56.125;1
15;31.12.2020 09:09;1937;125.235.48.114;8
16;31.12.2020 09:48;1203;101.81.161.142;9
17;31.12.2020 16:42;1311;100.18.207.234;4
18;31.12.2020 17:04;424;163.166.168.14;9
19;31.12.2020 23:04;3490;170.222.61.39;6
20;31.12.2020 23:17;1395;236.150.57.240;11
21;01.01.2021 00:29;2321;159.125.210.101;13
22;01.01.2021 01:53;3461;38.162.243.217;7
23;01.01.2021 06:52;740;91.39.227.39;13
24;01.01.2021 09:41;156;181.73.157.23;7
25;01.01.2021 10:48;2617;80.248.34.53;11
26;01.01.2021 11:34;1963;155.129.226.229;5
27;01.01.2021 11:54;2452;47.204.88.176;11
28;01.01.2021 13:29;939;229.140.250.138;2
29;01.01.2021 15:46;682;217.38.30.83;12
30;02.01.2021 01:54;2154;88.217.181.132;1
31;02.01.2021 05:38;2188;214.71.48.93;10
32;02.01.2021 14:56;2038;87.112.121.86;1
33;03.01.2021 02:35;254;187.122.140.221;12
34;03.01.2021 03:29;498;201.127.192.12;4
35;03.01.2021 03:52;1290;252.158.146.10;11
36;03.01.2021 04:54;1015;181.73.157.23;5
37;03.01.2021 09:53;3256;181.73.157.23;5
38;03.01.2021 11:42;2880;201.96.31.251;11
39;03.01.2021 15:21;2784;205.150.203.185;6
40;03.01.2021 16:17;1805;224.227.160.193;11
41;04.01.2021 00:10;544;152.89.109.127;6
42;04.01.2021 02:17;3462;217.248.144.22;5
43;04.01.2021 14:54;1463;75.250.30.38;13
