5.1
minuty
960
5.2
SumaOfliczebnosc	nazwa_zwyczajowa
41883	zieba
5.3
nazwa_zwyczajowa	1	2	3	4	5	6	7	8	9	10	11	12
alczyk												1
alka			6								2	
bak				9	5					2		
batalion				10		3		4	10			
bazant			1		5					28	16	47
bazant zlocisty				1								
bernikla bialolica	2		82	2	8	1				1		7
bialorzytka				2	16	1		1	2			
biegus krzywodzioby							1	22	3			
biegus malutki								4	12			
biegus maly					3			1				
biegus morski			1									
biegus plaskodzioby								1				
biegus rdzawy								3	60			
biegus zmienny					1	3	42	89	46	80		
bielaczek	234	62	41	19								13
bielik	9	12	21	11	9	3		2	3	6	1	4
blotniak lakowy				6	3							
blotniak stawowy			7	88	47	5	9	1	1	1		
blotniak zbozowy			1	14	4							1
bocian bialy			1	10	28	16	20	29				
bocian czarny								2				
bogatka	375	172	3152	519	37	9	12	28	20	109	148	356
brodziec piskliwy				15	8	1	5	12	2			
brodziec sniady					3	2		11	4			
brzeczka				2	6	1						
brzegowka				4		18	6					
cierniowka				2	3	2	2	2	1			
cyraneczka	2		28	37	16	32	8	8	64	43		
cyranka				4	7							
czajka		31	419	9	27	8	21		600	30	4	2
czapla biala				21	18	1	1	17	17	2		
czapla siwa	1	16	57	24	28	10	30	23	14	39	21	33
czarnoglowka	11	9		5		2			4	19	5	2
czarnowron			2	2	4				2			
czeczotka		20	64	4						9		
czernica	67	572	60	1062	95			1	27	170	8500	1011
czubatka	1	4	1	3	1					12	5	
czyz	339	93	599	12328	1033	1			2	64	96	183
derkacz						2						
drozdzik			1	52	1				20			5
drzemlik				10	3						1	
dymowka				19	75	5	25	64	58	1		
dzieciol czarny	2	2	1	7	5				1	3		
dzieciol duzy	21	35	16	12	8	2		3	7	9	6	7
dzieciol sredni	1	2	1							3	2	6
dzieciol zielonosiwy				1								
dzieciol zielony	1	1		1	2				4	2		1
dzieciolek						1						
dziwonia					11	47	1	1				
dzwoniec	176	72	349	100	18	2	3	3	8	106	38	23
edredon	8	96	16	1	8				7		4	17
gagol	633	1936	165	5	13	27	20	22	30	13	80	156
gajowka					6	5	1					
gasiorek					8	8	5	5	8			
gawron	97	59	1148	126	187		20	43		142	46	40
gegawa	67	65	242	77	71	9	13	91	1	958	9	220
ges bialoczelna				51	4					70	10	
ges zbozowa			279	13						736	5	
gil	50	18	50	24			2		1		42	39
glowienka	4	2		2			2	2	8	182	801	700
golab miejski	346		43	28	40	9	6	30		72	33	48
grubodziob	48	46	26	23	7	1	3	5	10	7	21	12
grzywacz		14	2169	5226	119	11	18	38	8	58	6	
helmiatka										2		
jarzebatka						1						
jastrzab		1	3	3		1	1	3		9	3	8
jemioluszka	203	434			32						27	18
jer	6	76	4	242						1	1	
jerzyk					40	20	13	33				
kamusznik							1	1				
kania czarna				2	1							
kania ruda			3	11	4	2				1		
kapturka				7	7	7	1		5	2		
karolinka	9	2	3									2
kawka	158	107	816	154	82	5		26	1	130	5	28
klaskawka					1	1						
